,Titles,Variable,Value
603,ザ・ファブル,4,・山形放送: 4/6(土) 24:55
604,現代誤訳,4,放送情報詳細
605,エルフさんは痩せられない。,4,放送情報詳細
606,小市民シリーズ,4,・CSテレ朝チャンネル1: 8/4(日) 21:00
609,魔導具師ダリヤはうつむかない,4,・AT-X: 7/6(土) 21:00
611,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,5,・福島テレビ: 4/20(土) 05:00
619,神之塔 -Tower of God- (第2期),5,放送情報詳細
622,しかのこのこのここしたんたん,5,・静岡放送: 7/9(火) 25:55
624,VTuberなんだが配信切り忘れたら伝説になってた,5,次回以降23:30〜
626,異世界ゆるり紀行 ～子育てしながら冒険者します～,5,・テレビユー福島: 7/12(金) 25:23
631,真夜中ぱんチ,5,・チューリップテレビ: 7/8(月) 25:50
636,SHY (第2期),5,放送情報詳細
639,狼と香辛料 merchant meets the wise wolf,5,次回以降24:30～
645,僕の妻は感情がない,5,・AT-X: 7/4(木) 23:00
651,異世界失格,5,・MBS: 7/9(火) 27:30
656,多数欠,5,・AT-X: 7/4(木) 22:30
664,【推しの子】 (第2期),5,・KBS京都: 7/3(水) 24:00
665,時々ボソッとロシア語でデレる隣のアーリャさん,5,・ミヤギテレビ: 7/3(水) 25:59
667,戦国妖狐 千魔混沌編 (第2期),5,放送情報詳細
669,デリコズ・ナーサリー,5,・MBS: 8/10(土) 26:38
671,恋は双子で割り切れない,5,・AT-X: 7/10(水) 23:30
674,キミと僕の最後の戦場、あるいは世界が始まる聖戦 season II,5,放送情報詳細
677,義妹生活,5,放送情報詳細
680,黄昏アウトフォーカス,5,放送情報詳細
683,俺は全てを【パリイ】する〜逆勘違いの世界最強は冒険者になりたい〜,5,放送情報詳細
685,疑似ハーレム,5,・BSフジ: 7/5(金) 24:30
687,ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,5,・AT-X: 7/8(月) 20:00
688,先輩はおとこのこ,5,・さくらんぼテレビジョン: 7/4(木) 25:10
691,君に届け 3RD SEASON,5,放送情報詳細
693,BEYBLADE X,5,・テレビ北海道: 10/6(金) 18:25
698,2.5次元の誘惑(リリサ),5,・テレビ埼玉: 7/5(金) 24:30
700,NieR:Automata Ver1.1a 第2クール,5,・読売テレビ: 7/8(月) 26:29
702,[再] ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,5,・AT-X: 7/8(月) 22:00
703,異世界スーサイド・スクワッド,5,放送情報詳細
705,グレンダイザーU,5,放送情報詳細
706,ダンジョンの中のひと,5,・EBCテレビ愛媛: 7/8(月) 25:30
712,貼りまわれ！こいぬ (第2期),5,放送情報詳細
717,モブから始まる探索英雄譚,5,・AT-X: 7/9(火) 23:00
718,なぜ僕の世界を誰も覚えていないのか？,5,・AT-X: 7/16(火) 20:30
720,天穂のサクナヒメ,5,・テレビ北海道: 7/6(土) 23:00
721,逃げ上手の若君,5,・MBS: 7/6(土) 26:08
723,ATRI -My Dear Moments-,5,・AT-X: 7/15(月) 21:30
724,負けヒロインが多すぎる！,5,・中京テレビ: 7/13(土) 25:25
725,ザ・ファブル,5,・山梨放送: 4/6(土) 24:55
728,小市民シリーズ,5,放送情報詳細
731,魔導具師ダリヤはうつむかない,5,放送情報詳細
733,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,6,4/20、4/27はあさ5時30分～
744,しかのこのこのここしたんたん,6,・北海道放送: 7/11(木) 25:56
746,VTuberなんだが配信切り忘れたら伝説になってた,6,・AT-X: 7/7(日) 23:30
748,異世界ゆるり紀行 ～子育てしながら冒険者します～,6,・テレビ北海道: 7/12(金) 25:43
753,真夜中ぱんチ,6,・AT-X: 7/8(月) 22:30
761,狼と香辛料 merchant meets the wise wolf,6,・AT-X: 4/3(水) 22:00
767,僕の妻は感情がない,6,放送情報詳細
773,異世界失格,6,・メ～テレ: 7/13(土) 26:30
778,多数欠,6,放送情報詳細
786,【推しの子】 (第2期),6,・tvk: 7/3(水) 24:00
787,時々ボソッとロシア語でデレる隣のアーリャさん,6,第3話以降は25:29～放送
791,デリコズ・ナーサリー,6,放送情報詳細
793,恋は双子で割り切れない,6,放送情報詳細
807,疑似ハーレム,6,・dアニメストア: 7/7(日) 24:30
809,ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,6,放送情報詳細
810,先輩はおとこのこ,6,次回以降24時55分～
815,BEYBLADE X,6,・TVQ九州放送: 10/6(金) 18:25
820,2.5次元の誘惑(リリサ),6,・千葉テレビ: 7/5(金) 25:00
822,NieR:Automata Ver1.1a 第2クール,6,・中京テレビ: 7/9(火) 25:57
824,[再] ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,6,放送情報詳細
828,ダンジョンの中のひと,6,・HTB北海道テレビ: 7/8(月) 26:25
839,モブから始まる探索英雄譚,6,放送情報詳細
840,なぜ僕の世界を誰も覚えていないのか？,6,放送情報詳細
842,天穂のサクナヒメ,6,・TVQ九州放送: 7/6(土) 23:00
843,逃げ上手の若君,6,・RKB毎日放送: 7/9(火) 25:58
845,ATRI -My Dear Moments-,6,放送情報詳細
846,負けヒロインが多すぎる！,6,・読売テレビ: 7/15(月) 25:59
847,ザ・ファブル,6,・南海放送: 4/6(土) 24:55
855,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,7,・テレビ和歌山: 4/20(土) 09:00
866,しかのこのこのここしたんたん,7,・テレビせとうち: 7/12(金) 17:25
868,VTuberなんだが配信切り忘れたら伝説になってた,7,放送情報詳細
870,異世界ゆるり紀行 ～子育てしながら冒険者します～,7,・新潟放送: 7/12(金) 25:53
875,真夜中ぱんチ,7,放送情報詳細
883,狼と香辛料 merchant meets the wise wolf,7,放送情報詳細
895,異世界失格,7,・AT-X: 7/9(火) 23:30
908,【推しの子】 (第2期),7,・テレビ和歌山: 7/3(水) 24:00
909,時々ボソッとロシア語でデレる隣のアーリャさん,7,・テレビ新広島: 7/3(水) 26:00
929,疑似ハーレム,7,・AT-X: 7/6(土) 23:30
932,先輩はおとこのこ,7,・福島テレビ: 7/4(木) 25:10
937,BEYBLADE X,7,放送情報詳細
942,2.5次元の誘惑(リリサ),7,・テレQ: 7/5(金) 25:48
944,NieR:Automata Ver1.1a 第2クール,7,・福岡放送: 7/9(火) 25:59
950,ダンジョンの中のひと,7,・AT-X: 7/8(月) 23:00
964,天穂のサクナヒメ,7,・熊本県民テレビ: 7/18(木) 25:29
965,逃げ上手の若君,7,・長崎文化放送: 7/10(水) 25:18
968,負けヒロインが多すぎる！,7,放送情報詳細
969,ザ・ファブル,7,・広島テレビ: 4/6(土) 25:25
977,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,8,・仙台放送: 4/21(日) 08:30
988,しかのこのこのここしたんたん,8,・長崎文化放送: 7/12(金) 25:20
992,異世界ゆるり紀行 ～子育てしながら冒険者します～,8,第3話：7月26日26:03〜
1017,異世界失格,8,放送情報詳細
1030,【推しの子】 (第2期),8,・三重テレビ放送: 7/3(水) 24:20
1031,時々ボソッとロシア語でデレる隣のアーリャさん,8,・テレビ静岡: 7/3(水) 26:10
1051,疑似ハーレム,8,放送情報詳細
1054,先輩はおとこのこ,8,次回以降24時55分～
1064,2.5次元の誘惑(リリサ),8,・テレビ愛知: 7/5(金) 26:05
1066,NieR:Automata Ver1.1a 第2クール,8,・札幌テレビ: 7/11(木) 25:59
1072,ダンジョンの中のひと,8,・RKK熊本放送: 8/9(金) 25:23
1086,天穂のサクナヒメ,8,・AT-X: 7/9(火) 21:30
1087,逃げ上手の若君,8,・宮崎放送: 7/10(水) 25:26
1091,ザ・ファブル,8,・テレビ宮崎: 4/6(土) 25:50
1099,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,9,・福井テレビ: 4/27(土) 10:50
1110,しかのこのこのここしたんたん,9,・とちぎテレビ: 7/16(火) 23:00
1114,異世界ゆるり紀行 ～子育てしながら冒険者します～,9,・熊本放送: 7/12(金) 26:23
1152,【推しの子】 (第2期),9,・KSB瀬戸内海放送: 7/3(水) 24:20
1153,時々ボソッとロシア語でデレる隣のアーリャさん,9,・新潟放送: 7/3(水) 26:30
1176,先輩はおとこのこ,9,・サガテレビ: 7/4(木) 25:10
1186,2.5次元の誘惑(リリサ),9,・MBS: 7/5(金) 26:53
1188,NieR:Automata Ver1.1a 第2クール,9,・アニマックス: 8/10(土) 22:30
1194,ダンジョンの中のひと,9,・HAB北陸朝日放送: 8/17(土) 26:30
1208,天穂のサクナヒメ,9,放送情報詳細
1209,逃げ上手の若君,9,・愛媛朝日テレビ: 7/10(水) 25:50
1213,ザ・ファブル,9,・静岡第一テレビ: 4/6(土) 25:55
1221,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,10,放送情報詳細
1232,しかのこのこのここしたんたん,10,・AT-X: 7/11(木) 23:30
1236,異世界ゆるり紀行 ～子育てしながら冒険者します～,10,第3話：7月26日27:03〜
1274,【推しの子】 (第2期),10,・テレビ愛媛: 7/3(水) 24:25
1275,時々ボソッとロシア語でデレる隣のアーリャさん,10,・日本海テレビ: 7/3(水) 26:35
1298,先輩はおとこのこ,10,次回以降24時55分～
1308,2.5次元の誘惑(リリサ),10,・AT-X: 7/7(日) 21:30
1310,NieR:Automata Ver1.1a 第2クール,10,放送情報詳細
1316,ダンジョンの中のひと,10,放送情報詳細
1331,逃げ上手の若君,10,・HTB北海道テレビ: 7/10(水) 25:55
1335,ザ・ファブル,10,・中京テレビ: 4/6(土) 25:55
1354,しかのこのこのここしたんたん,11,放送情報詳細
1358,異世界ゆるり紀行 ～子育てしながら冒険者します～,11,・静岡放送: 7/13(土) 26:23
1396,【推しの子】 (第2期),11,・熊本朝日放送: 7/3(水) 24:50
1397,時々ボソッとロシア語でデレる隣のアーリャさん,11,・ＲＫＢ毎日放送: 7/3(水) 27:00
1420,先輩はおとこのこ,11,・テレビ愛媛: 7/4(木) 25:20
1430,2.5次元の誘惑(リリサ),11,・アニマックス: 8/3(土) 22:00
1453,逃げ上手の若君,11,・テレビ新潟: 7/10(水) 25:59
1457,ザ・ファブル,11,・四国放送: 4/6(土) 25:55
1480,異世界ゆるり紀行 ～子育てしながら冒険者します～,12,第3話以降26:13～
1518,【推しの子】 (第2期),12,・TSKさんいん中央テレビ: 7/3(水) 24:55
1519,時々ボソッとロシア語でデレる隣のアーリャさん,12,・テレビ山梨: 7/3(水) 27:00
1542,先輩はおとこのこ,12,次回以降25時05分～
1552,2.5次元の誘惑(リリサ),12,放送情報詳細
1575,逃げ上手の若君,12,・中京テレビ: 7/10(水) 25:59
1579,ザ・ファブル,12,・西日本放送: 4/7(日) 25:25
1602,異世界ゆるり紀行 ～子育てしながら冒険者します～,13,・秋田放送: 7/16(火) 25:24
1640,【推しの子】 (第2期),13,・テレビユー福島: 7/3(水) 24:58
1641,時々ボソッとロシア語でデレる隣のアーリャさん,13,・長崎放送: 7/4(木) 25:41
1664,先輩はおとこのこ,13,・秋田テレビ: 7/4(木) 25:35
1697,逃げ上手の若君,13,・北陸放送: 7/10(水) 26:00
1701,ザ・ファブル,13,・福岡放送: 4/8(月) 25:59
1724,異世界ゆるり紀行 ～子育てしながら冒険者します～,14,・鹿児島讀賣テレビ: 7/18(木) 26:07
1762,【推しの子】 (第2期),14,・FBC福井放送: 7/3(水) 24:59
1763,時々ボソッとロシア語でデレる隣のアーリャさん,14,・HTB北海道テレビ: 7/4(木) 25:55
1786,先輩はおとこのこ,14,次回以降25時20分～
1819,逃げ上手の若君,14,・静岡放送: 7/10(水) 26:15
1823,ザ・ファブル,14,・長崎国際テレビ: 4/9(火) 25:29
1846,異世界ゆるり紀行 ～子育てしながら冒険者します～,15,・テレビユー山形: 7/19(金) 25:23
1884,【推しの子】 (第2期),15,・テレビ愛知: 7/3(水) 25:00
1885,時々ボソッとロシア語でデレる隣のアーリャさん,15,・テレビユー福島: 7/4(木) 25:58
1908,先輩はおとこのこ,15,・仙台放送: 7/4(木) 25:45
1941,逃げ上手の若君,15,・大分放送: 7/10(水) 26:25
1945,ザ・ファブル,15,・日本海テレビジョン: 4/9(火) 26:00
1968,異世界ゆるり紀行 ～子育てしながら冒険者します～,16,・AT-X: 7/12(金) 20:00
2006,【推しの子】 (第2期),16,・tbc東北放送: 7/3(水) 25:00
2007,時々ボソッとロシア語でデレる隣のアーリャさん,16,第2話以降は25:28～放送
2030,先輩はおとこのこ,16,次回以降25時30分～
2063,逃げ上手の若君,16,・IBC岩手放送: 7/10(水) 26:28
2067,ザ・ファブル,16,・高知放送: 4/10(水) 25:24
2090,異世界ゆるり紀行 ～子育てしながら冒険者します～,17,・IBC岩手放送: 8/2(金) 25:23
2128,【推しの子】 (第2期),17,・群馬テレビ: 7/3(水) 25:00
2129,時々ボソッとロシア語でデレる隣のアーリャさん,17,・メ～テレ: 7/4(木) 26:00
2152,先輩はおとこのこ,17,・テレビ静岡: 7/4(木) 25:45
2185,逃げ上手の若君,17,・テレビユー福島: 7/11(木) 24:59
2189,ザ・ファブル,17,・鹿児島讀賣テレビ: 4/10(水) 25:34
2212,異世界ゆるり紀行 ～子育てしながら冒険者します～,18,放送情報詳細
2250,【推しの子】 (第2期),18,・奈良テレビ放送: 7/3(水) 25:00
2251,時々ボソッとロシア語でデレる隣のアーリャさん,18,・あいテレビ: 7/4(木) 26:00
2274,先輩はおとこのこ,18,・鹿児島テレビ: 7/4(木) 25:45
2307,逃げ上手の若君,18,・鹿児島放送: 7/11(木) 25:20
2311,ザ・ファブル,18,・札幌テレビ: 4/10(水) 25:59
2372,【推しの子】 (第2期),19,・びわ湖放送: 7/3(水) 25:00
2373,時々ボソッとロシア語でデレる隣のアーリャさん,19,・IBC岩手放送: 7/4(木) 26:58
2396,先輩はおとこのこ,19,次回以降25時30分～
2429,逃げ上手の若君,19,・琉球朝日放送: 7/11(木) 25:20
2433,ザ・ファブル,19,・北日本放送: 4/10(水) 25:59
2494,【推しの子】 (第2期),20,・abn 長野朝日放送: 7/3(水) 25:20
2495,時々ボソッとロシア語でデレる隣のアーリャさん,20,・チューリップテレビ: 7/5(金) 26:23
2518,先輩はおとこのこ,20,・長野放送: 7/4(木) 25:45
2551,逃げ上手の若君,20,・さくらんぼテレビ: 7/11(木) 25:25
2555,ザ・ファブル,20,・熊本県民テレビ: 4/11(木) 24:59
2616,【推しの子】 (第2期),21,・KKB鹿児島放送: 7/3(水) 25:20
2617,時々ボソッとロシア語でデレる隣のアーリャさん,21,・北陸放送: 7/5(金) 26:45
2640,先輩はおとこのこ,21,次回以降25時30分～
2673,逃げ上手の若君,21,・東日本放送: 7/11(木) 25:31
2677,ザ・ファブル,21,・テレビ大分: 4/11(木) 24:59
2738,【推しの子】 (第2期),22,・UTYテレビ山梨: 7/3(水) 25:25
2739,時々ボソッとロシア語でデレる隣のアーリャさん,22,・福井テレビ: 7/6(土) 25:15
2762,先輩はおとこのこ,22,・テレビ新広島: 7/4(木) 26:00
2795,逃げ上手の若君,22,・信越放送: 7/11(木) 25:42
2799,ザ・ファブル,22,・秋田放送: 4/11(木) 25:24
2860,【推しの子】 (第2期),23,・RCC中国放送: 7/3(水) 25:25
2861,時々ボソッとロシア語でデレる隣のアーリャさん,23,・テレビユー山形: 7/6(土) 25:58
2884,先輩はおとこのこ,23,・テレビ熊本: 7/4(木) 26:00
2917,逃げ上手の若君,23,・秋田朝日放送: 7/11(木) 25:50
2921,ザ・ファブル,23,・テレビ新潟: 4/11(木) 25:29
2982,【推しの子】 (第2期),24,・NST新潟総合テレビ: 7/3(水) 25:29
2983,時々ボソッとロシア語でデレる隣のアーリャさん,24,・鹿児島放送: 7/6(土) 27:30
3006,先輩はおとこのこ,24,次回以降25時45分～
3039,逃げ上手の若君,24,・青森放送: 7/11(木) 25:54
3043,ザ・ファブル,24,・テレビ金沢: 4/11(木) 25:35
3104,【推しの子】 (第2期),25,・TVQ九州放送: 7/3(水) 25:30
3105,時々ボソッとロシア語でデレる隣のアーリャさん,25,毎月第1週目の放送は27:30～、それ以外の週は27:00～放送
3128,先輩はおとこのこ,25,・NST新潟総合テレビ: 7/4(木) 26:05
3161,逃げ上手の若君,25,・RSK山陽放送: 7/11(木) 25:55
3165,ザ・ファブル,25,・テレビ信州: 4/11(木) 25:44
3226,【推しの子】 (第2期),26,・とちぎテレビ: 7/3(水) 25:30
3227,時々ボソッとロシア語でデレる隣のアーリャさん,26,・琉球放送: 7/8(月) 26:19
3250,先輩はおとこのこ,26,次回以降25時50分～
3283,逃げ上手の若君,26,・広島テレビ: 7/11(木) 25:59
3287,ザ・ファブル,26,・山口放送: 4/11(木) 25:54
3348,【推しの子】 (第2期),27,・チバテレ: 7/3(水) 25:30
3349,時々ボソッとロシア語でデレる隣のアーリャさん,27,・AT-X: 7/5(金) 23:00
3372,先輩はおとこのこ,27,・関西テレビ: 7/4(木) 26:10
3405,逃げ上手の若君,27,・テレビ山口: 7/11(木) 26:00
3409,ザ・ファブル,27,・福井放送: 4/12(金) 24:30
3470,【推しの子】 (第2期),28,・テレ玉: 7/3(水) 25:30
3471,時々ボソッとロシア語でデレる隣のアーリャさん,28,放送情報詳細
3494,先輩はおとこのこ,28,次回以降25時55分～
3527,逃げ上手の若君,28,・チューリップテレビ: 7/12(金) 25:53
3531,ザ・ファブル,28,・讀賣テレビ: 4/12(金) 25:05
3592,【推しの子】 (第2期),29,・MRO北陸放送: 7/3(水) 25:30
3616,先輩はおとこのこ,29,・テレビ西日本: 7/4(木) 26:10
3649,逃げ上手の若君,29,・熊本放送: 7/12(金) 25:53
3653,ザ・ファブル,29,・福島中央テレビ: 4/12(金) 25:56
3714,【推しの子】 (第2期),30,・SBS静岡放送: 7/3(水) 25:45
3738,先輩はおとこのこ,30,次回以降25時55分～
3771,逃げ上手の若君,30,・テレビ山梨: 7/12(金) 26:55
3775,ザ・ファブル,30,・ミヤギテレビ: 4/12(金) 25:59
3836,【推しの子】 (第2期),31,・AAB秋田朝日放送: 7/3(水) 25:50
3860,先輩はおとこのこ,31,・東海テレビ: 7/4(木) 26:24
3893,逃げ上手の若君,31,・アニマックス: 7/27(土) 20:30
3897,ザ・ファブル,31,・BS日テレ: 4/13(土) 24:00
3958,【推しの子】 (第2期),32,・NBC長崎放送: 7/3(水) 25:56
3982,先輩はおとこのこ,32,次回以降26時04分～
4015,逃げ上手の若君,32,放送情報詳細
4019,ザ・ファブル,32,放送情報詳細
4080,【推しの子】 (第2期),33,・IBC岩手放送: 7/3(水) 25:58
4104,先輩はおとこのこ,33,・北海道文化放送: 7/10(水) 24:25
4202,【推しの子】 (第2期),34,・UMKテレビ宮崎: 7/3(水) 26:24
4226,先輩はおとこのこ,34,・高知さんさんテレビ: 7/25(木) 25:00
4324,【推しの子】 (第2期),35,・AT-X: 7/5(金) 22:30
4348,先輩はおとこのこ,35,次回以降24時55分～
4446,【推しの子】 (第2期),36,放送情報詳細
4470,先輩はおとこのこ,36,・AT-X: 7/20(土) 21:30
4592,先輩はおとこのこ,37,放送情報詳細
